Objective Value, Total Weight
-11155.862324798145,39674.0
Objective Value, Total Weight
-13874.784978061121,35292.0
-9688.152758009397,36083.0
Objective Value, Total Weight
-6268.454352022069,38761.0
-10303.809099146973,37412.0
Objective Value, Total Weight
-6552.660245411731,39466.0
-8212.340228591762,35770.0
Objective Value, Total Weight
-10013.619907700719,39804.0
-11106.05933767368,39334.0
-11822.258061795743,37966.0
Objective Value, Total Weight
-10587.926371480491,37601.0
-8788.923804622827,40546.0
Objective Value, Total Weight
-8438.55529302953,34270.0
-4818.531708861046,39198.0
-7889.675058423549,35523.0
Objective Value, Total Weight
-10593.942037666842,31564.0
-2905.4395459229636,38870.0
-6191.698622423784,34834.0
-6001.431208677481,37128.0
Objective Value, Total Weight
-9118.491632737816,36948.0
-4121.626762383014,39176.0
Objective Value, Total Weight
-14264.851335788902,36893.0
-8584.308375270724,37513.0
-8975.295360729811,36957.0
