Objective Value, Total Weight
249418.2875184556,123878.0
Objective Value, Total Weight
273980.7618789491,133159.0
Objective Value, Total Weight
172809.87506672123,105634.0
Objective Value, Total Weight
166458.32307781844,117893.0
Objective Value, Total Weight
138800.55093224358,114471.0
Objective Value, Total Weight
80959.61412362,127931.0
Objective Value, Total Weight
160985.95470959568,127906.0
160985.95470959568,127906.0
160985.95470959568,127906.0
160985.95470959568,127906.0
160985.95470959568,127906.0
Objective Value, Total Weight
104915.09570301056,122020.0
Objective Value, Total Weight
207141.21477772834,122298.0
Objective Value, Total Weight
48358.59947974091,122127.0
