Objective Value, Total Weight
-13656.407890005008,40841.0
-13938.795845818735,40316.0
Objective Value, Total Weight
-14106.999370979123,37872.0
Objective Value, Total Weight
-14455.986908458479,41250.0
-16721.67361365432,38927.0
-15687.624197141558,40899.0
-15687.624197141558,40899.0
Objective Value, Total Weight
-18012.257437139386,39913.0
Objective Value, Total Weight
-13657.866151835318,39634.0
Objective Value, Total Weight
-6764.249491892355,40313.0
Objective Value, Total Weight
-9833.523566106873,38798.0
Objective Value, Total Weight
-13416.909529318073,41092.0
-20425.30024385576,39967.0
Objective Value, Total Weight
-18978.598640979122,37768.0
Objective Value, Total Weight
-10181.071487735484,39144.0
