Objective Value, Total Weight
-3754.0330828290535,36945.0
-3863.52354930048,35273.0
-6480.125029556759,33955.0
-1993.3845681268576,37896.0
Objective Value, Total Weight
-10090.034772439954,31007.0
-8817.25633686383,38517.0
Objective Value, Total Weight
-6965.466736006929,38790.0
-9431.814674161069,37057.0
-9925.140847256866,34697.0
-8275.493021823815,38133.0
Objective Value, Total Weight
-9610.607166561313,35442.0
-10474.994937479903,33548.0
-9619.939751196434,34508.0
Objective Value, Total Weight
1438.6946673886923,44028.0
-1219.0618720993225,37696.0
-186.36413760529103,38032.0
-1354.831876426928,37671.0
-3730.8486334553236,36337.0
1145.0446127669857,39614.0
-3025.17696386858,36444.0
-2410.874244871804,36872.0
-1880.502003542555,37537.0
Objective Value, Total Weight
419.75376898835384,43736.0
199.66738578733202,38375.0
-2116.299522161302,37154.0
-2899.5793839600447,34413.0
Objective Value, Total Weight
-11775.39487887879,37447.0
-10773.589103548817,40469.0
Objective Value, Total Weight
-10978.716222244955,39498.0
-11125.464659127902,37947.0
-12401.304387443648,34794.0
Objective Value, Total Weight
-11192.22435098036,36439.0
Objective Value, Total Weight
-6289.585439984752,40192.0
-10791.235604163041,37622.0
-7437.025569349404,38636.0
-8473.20066828301,38236.0
-11724.009300388498,37445.0
-6849.433563879516,39480.0
